race_date,race_code,umaban,bamei,chaku,odds_fin
2026-08-15,2026081501010711,14,スマートカイロス,,20.6000000000000000
2026-08-15,2026081501010711,2,マンオブザマッチ,10,11.5000000000000000
2026-08-15,2026081501010711,3,キャットテイル,13,8.5000000000000000
2026-08-15,2026081501010711,8,トルショー,4,20.2000000000000000
2026-08-15,2026081501010711,10,モズカトレア,12,16.4000000000000000
2026-08-15,2026081501010712,4,ペリプルス,7,66.2000000000000000
2026-08-15,2026081501010712,6,ブレイジングスター,14,259.0000000000000000
2026-08-15,2026081501010712,13,シャインフリーリー,11,179.2000000000000000
2026-08-15,2026081501010711,12,アスクケンタッキー,8,17.2000000000000000
2026-08-15,2026081501010712,2,テイクザクラウン,5,32.4000000000000000
2026-08-15,2026081501010712,3,ジーティートシオー,10,244.8000000000000000
2026-08-15,2026081501010712,7,ミッドタウンナイト,9,43.4000000000000000
2026-08-15,2026081501010712,11,サイモンイロハニー,12,142.7000000000000000
2026-08-15,2026081501010712,14,シャインバオバブ,8,142.5000000000000000
2026-08-15,2026081501010712,9,ミッキーファルコン,1,1.8000000000000000
2026-08-15,2026081501010712,5,タケルフォーカス,3,8.8000000000000000
2026-08-15,2026081501010707,15,ルージュスティーズ,9,38.0000000000000000
2026-08-16,2026081601010802,3,タイフーンナイン,1,1.7000000000000000
2026-08-16,2026081601010802,4,テイクケア,5,28.5000000000000000
2026-08-16,2026081601010811,11,アラタ,12,151.8000000000000000
2026-08-16,2026081601010802,7,スクレイプバイ,2,32.9000000000000000
2026-08-16,2026081601010809,6,キタノクニカラ,12,217.6000000000000000
2026-08-15,2026081501010701,8,ニットウエース,,
2026-08-15,2026081501010701,5,メイショウシンガン,8,36.9000000000000000
2026-08-15,2026081501010705,2,スピリッツ,3,14.1000000000000000
2026-08-15,2026081501010705,4,ディンクスマッシュ,7,42.8000000000000000
2026-08-15,2026081501010705,5,ジオパークカツキ,1,2.7000000000000000
2026-08-15,2026081501010705,7,キャンドル,10,4.7000000000000000
2026-08-15,2026081501010705,11,ゲームチェンジャー,8,203.8000000000000000
2026-08-15,2026081501010705,12,タワーレイヴン,9,6.5000000000000000
2026-08-15,2026081501010706,12,ヤマヤロード,12,299.3000000000000000
2026-08-15,2026081501010706,7,エアヴァイブス,1,4.0000000000000000
2026-08-15,2026081501010706,8,エイシンキーンラン,3,6.4000000000000000
2026-08-15,2026081501010706,10,ショウナンバーボン,4,2.9000000000000000
2026-08-15,2026081501010706,13,ランウェイミューズ,5,13.9000000000000000
2026-08-15,2026081501010706,14,アップターンデイ,14,164.0000000000000000
2026-08-15,2026081501010707,12,エイトスターズ,12,103.9000000000000000
2026-08-15,2026081501010707,7,ニシノエピカリ,14,117.5000000000000000
2026-08-15,2026081501010707,10,ドマーネ,5,51.1000000000000000
2026-08-15,2026081501010707,8,ヴァーナリー,13,63.9000000000000000
2026-08-15,2026081501010709,3,アヴィアトーレ,5,3.7000000000000000
2026-08-15,2026081501010709,8,デアグランツ,1,3.3000000000000000
2026-08-15,2026081501010710,1,ガットネロ,16,35.9000000000000000
2026-08-15,2026081501010710,4,ブルボンクイーン,6,30.9000000000000000
2026-08-15,2026081501010710,5,スムースベルベット,4,14.9000000000000000
2026-08-15,2026081501010710,9,ベニシア,15,206.6000000000000000
2026-08-15,2026081501010710,14,ストレイトアスク,3,9.3000000000000000
2026-08-15,2026081501010711,4,ノーブルスカイ,11,29.3000000000000000
2026-08-15,2026081501010711,6,レーウィン,6,17.6000000000000000
2026-08-15,2026081501010711,13,ロードブレイズ,7,14.5000000000000000
2026-08-15,2026081501010702,5,ローザベッラ,7,72.1000000000000000
2026-08-15,2026081501010702,1,マイネルラビリンス,5,44.8000000000000000
2026-08-15,2026081501010705,10,スマートライナー,6,19.1000000000000000
2026-08-15,2026081501010705,3,フレンドミラノ,12,72.8000000000000000
2026-08-15,2026081501010705,6,ハミングリップス,5,86.7000000000000000
2026-08-15,2026081501010706,6,ニシノシャルム,9,161.3000000000000000
2026-08-15,2026081501010706,9,シャルムグリーン,6,5.2000000000000000
2026-08-15,2026081501010706,1,グローリーバローズ,7,9.6000000000000000
2026-08-15,2026081501010706,3,フラワーフェアリー,11,308.3000000000000000
2026-08-15,2026081501010712,12,アーレムアレス,2,3.1000000000000000
2026-08-15,2026081501010707,5,エイカイコバチ,2,22.4000000000000000
2026-08-15,2026081501010711,7,セボンサデッセ,3,4.2000000000000000
2026-08-15,2026081501010712,1,ジャストビート,13,54.3000000000000000
2026-08-15,2026081501010712,10,オブラプリーマ,6,24.3000000000000000
2026-08-16,2026081601010809,12,ラヴノー,3,9.8000000000000000
2026-08-16,2026081601010804,3,ワンダージェム,13,132.8000000000000000
2026-08-16,2026081601010804,5,テリオスリコ,12,180.0000000000000000
2026-08-16,2026081601010804,7,エースオブゴールド,10,79.2000000000000000
2026-08-16,2026081601010804,11,ホウオウロレンシア,7,11.8000000000000000
2026-08-16,2026081601010804,6,ディープマウンテン,5,110.1000000000000000
2026-08-16,2026081601010804,8,アルジェンタム,1,2.2000000000000000
2026-08-16,2026081601010804,10,フォーティンブラス,6,18.0000000000000000
2026-08-16,2026081601010804,13,ブライトエンジェル,2,13.6000000000000000
2026-08-16,2026081601010804,14,パーシヴァル,14,30.5000000000000000
2026-08-16,2026081601010805,11,レジームチェンジ,2,2.3000000000000000
2026-08-16,2026081601010804,2,トランスマリーン,9,43.1000000000000000
2026-08-16,2026081601010805,4,グリームウッド,11,68.7000000000000000
2026-08-16,2026081601010804,4,メイショウタイザン,4,6.1000000000000000
2026-08-16,2026081601010804,9,メカニックバレエ,8,95.5000000000000000
2026-08-16,2026081601010805,9,ハヤブサカツオー,3,16.6000000000000000
2026-08-16,2026081601010806,5,タイセイアビリティ,7,30.4000000000000000
2026-08-16,2026081601010805,8,レッドマスキュラー,7,3.0000000000000000
2026-08-16,2026081601010806,6,スパークルジョイ,12,29.2000000000000000
2026-08-16,2026081601010806,7,ナンナンプー,9,20.5000000000000000
2026-08-16,2026081601010806,10,ヨドノゴールド,3,4.7000000000000000
2026-08-16,2026081601010806,2,マカニ,5,106.3000000000000000
2026-08-16,2026081601010806,3,イングラム,6,2.5000000000000000
2026-08-16,2026081601010806,4,ラテラルパーム,2,6.7000000000000000
2026-08-16,2026081601010806,9,パドゼフィール,4,16.0000000000000000
2026-08-16,2026081601010807,4,トーレス,12,258.1000000000000000
2026-08-16,2026081601010807,3,キトゥンズラスター,8,166.8000000000000000
2026-08-16,2026081601010807,15,スチョウプリンセス,16,109.6000000000000000
2026-08-16,2026081601010807,10,コスモマウイ,14,269.8000000000000000
2026-08-16,2026081601010807,12,ヒメヒオウギ,4,12.1000000000000000
2026-08-16,2026081601010807,16,ミナヅキ,6,4.8000000000000000
2026-08-16,2026081601010807,14,ウイルソン,1,3.3000000000000000
2026-08-16,2026081601010808,6,スパークルレイ,11,278.6000000000000000
2026-08-16,2026081601010808,10,ジェネラスキング,4,4.8000000000000000
2026-08-16,2026081601010808,1,カフジクロミエ,10,15.5000000000000000
2026-08-16,2026081601010808,3,タイセイルビー,6,14.6000000000000000
2026-08-16,2026081601010808,9,サマースプラッシュ,8,176.1000000000000000
2026-08-16,2026081601010809,1,シュークリーム,16,14.5000000000000000
2026-08-16,2026081601010809,4,レッドカメリア,7,33.7000000000000000
2026-08-16,2026081601010809,11,アルマロクザン,11,140.8000000000000000
2026-08-16,2026081601010811,3,ピンクジン,13,267.2000000000000000
2026-08-16,2026081601010809,5,ハッピーラッキー,4,4.3000000000000000
2026-08-16,2026081601010809,10,トーアサジタリウス,10,67.9000000000000000
2026-08-16,2026081601010809,16,リヴァイ,1,6.4000000000000000
2026-08-16,2026081601010810,4,オセアエクスプレス,6,75.9000000000000000
2026-08-16,2026081601010809,2,ラスベガスサイン,13,23.5000000000000000
2026-08-16,2026081601010809,13,ノアールビーナス,2,15.7000000000000000
2026-08-16,2026081601010809,14,ダブルチャレンジ,5,11.0000000000000000
2026-08-16,2026081601010809,15,マイケルバローズ,8,13.6000000000000000
2026-08-16,2026081601010811,15,シェイクユアハート,1,6.8000000000000000
2026-08-16,2026081601010810,2,ビーマックス,3,14.3000000000000000
